domain,number of customers
github.io.com,3
tinyurl.com,1
cbc.ca,1
nyu.edu,1
github.io,2
china.com.cn,1
ovh.net,1
chicagotribune.com,1
woothemes.com,2
arizona.edu,1
seattletimes.com,1
kickstarter.com,2
seesaa.net,1
spotify.com,1
google.fr,1
topsy.com,1
sun.com,1
unc.edu,3
github.io.com.com,1
twitpic.com,1
jimdo.com,1
eepurl.com,1
domainmarket.com,1
youtu.be,1
ezinearticles.com,1
whitehouse.gov,1
tiny.cc,1
go.com,1
prweb.com,1
pcworld.com,1
php.net,1
reference.com,1
yolasite.com,1
yellowbook.com,1
phpbb.com,1
360.cn,1
acquirethisname.com,1
so-net.ne.jp,1
constantcontact.com,1
rakuten.co.jp,1
nydailynews.com,1
miitbeian.gov.cn,1
gizmodo.com,1
hubpages.com,1
twitter.com,1
wikimedia.org,1
sina.com.cn,1
cyberchimps.com,1
fema.gov,1
utexas.edu,1
netscape.com,1
